Aruba,ABW,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.6612,93.5425,97.17,97.17,97.17
Afghanistan,AFG,1.22415,2.10712,1.9,1.84,3.55,4,5,5.45455,5.9,7,8.26,11.2,13.5,13.5,13.5
Angola,AGO,1.14337,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,21.4,12.4,13,14.3391,14.3391,14.3391
Albania,ALB,6.04389,9.60999,15.0361,23.86,41.2,45,49,54.656,57.2,60.1,63.2529,66.3634,71.847,71.847,69.6429
Andorra,AND,37.6058,48.9368,70.87,70.04,78.53,81,81,86.4344,94,95.9,96.91,97.9306,91.5675,91.5675,91.5675
United Arab Emirates,ARE,40,52,61,63,64,68,78,85,88,90.4,90.5,90.6,94.8199,98.45,99.15
Argentina,ARG,17.7206,20.9272,25.9466,28.1126,34,45,51,55.8,59.9,64.7,68.0431,70.969,74.2949,74.2949,74.2949
Armenia,ARM,5.25298,5.63179,6.02125,6.21,15.3,25,32,37.5,41.9,54.6228,59.1024,64.346,64.7449,64.7449,64.7449
Antigua and Barbuda,ATG,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76,76,76
Australia,AUS,63,66,69.45,71.67,74.25,76,79.4877,79,83.4535,84,84.5605,86.54,86.545,86.545,86.545
Austria,AUT,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.7105,87.7522
Azerbaijan,AZE,8.03038,11.9922,14.54,17.08,27.4,46,50,54.2,73,75,77,78.2,79,79.8,79.8
Burundi,BDI,0.542143,0.657593,0.7,0.81,0.9,1,1.11,1.22,1.26422,1.38,4.86622,5.17363,2.66075,2.66075,2.66075
Belgium,BEL,55.82,59.72,64.44,66,70,75,81.61,80.72,82.1702,85,85.0529,86.5165,87.6797,88.6551,90.3705
Benin,BEN,1.27103,1.53785,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6,11.255,11.994,20,20,20
Burkina Faso,BFA,0.469914,0.632708,0.75,0.92,1.13,2.4,3,3.72503,9.1,9.4,14,13.96,16,16,16
Bangladesh,BGD,0.241637,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.02,15,15,12.9
Bulgaria,BGR,19.97,27.09,33.64,39.67,45,46.23,47.98,51.9,53.0615,55.49,56.6563,59.8255,63.4101,64.782,67.947
